snowflake|sender_uid|channel_uid|created_at|modified_at|read_by|text
41753496332017920|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804634|1742999804634||hiya!
41753496516567296|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804656|1742999804656||hiya!
41753496583676160|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804664|1742999804664||hiya!
41753496634007808|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804670|1742999804670||hiya!
41753496684339456|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804676|1742999804676||hiya!
41753496726282496|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804681|1742999804681||hiya!
41753496776614144|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804687|1742999804687||hiya!
41753496810168576|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804691|1742999804691||hiya!
41753496843723008|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804695|1742999804695||hiya!
41753496877277440|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804699|1742999804699||hiya!
41753496902443264|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804702|1742999804702||hiya!
41753496935997696|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804706|1742999804706||hiya!
41753496961163520|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804709|1742999804709||hiya!
41753496986329344|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804712|1742999804712||hiya!
41753497019883776|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804716|1742999804716||hiya!
41753497053438208|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804720|1742999804720||hiya!
41753497078604032|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804723|1742999804723||hiya!
41753497103769856|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804726|1742999804726||hiya!
41753497128935680|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804729|1742999804729||hiya!
41753497154101504|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804732|1742999804732||hiya!
41753497187655936|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804736|1742999804736||hiya!
41753497212821760|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804739|1742999804739||hiya!
41753497237987584|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804742|1742999804742||hiya!
41753497263153408|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804745|1742999804745||hiya!
41753497296707840|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804749|1742999804749||hiya!
41753497321873664|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804752|1742999804752||hiya!
41753497347039488|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804755|1742999804755||hiya!
41753497380593920|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804759|1742999804759||hiya!
41753497405759744|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804762|1742999804762||hiya!
41753497430925568|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804765|1742999804765||hiya!
41753497456091392|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804768|1742999804768||hiya!
41753497489645824|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804772|1742999804772||hiya!
41753497514811648|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804775|1742999804775||hiya!
41753497539977472|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804778|1742999804778||hiya!
